(-4.88704,23.9582,144.448)
(-4.82519,23.989,147.378)
(-4.76131,24.0254,150.321)
(-4.74393,24.0351,151.114)
(-4.70209,24.0612,153.225)
(-4.70175,24.0614,153.241)
(-4.70092,24.0619,153.281)
(-4.69631,24.0646,153.495)
(-4.67086,24.0794,154.634)
(-3.77261,24.5215,194.093)
(-3.63874,24.5878,200)
(-3.63832,24.588,200.018)
(-3.63763,24.5884,200.05)
(-3.63763,24.5884,200.05)
(-3.63403,24.5903,200.22)
(-3.62822,24.5934,200.496)
(-2.58156,25.1491,250)
(-2.58119,25.1493,250.018)
(-2.58054,25.1497,250.05)
(-2.58054,25.1497,250.05)
(17.8331,19.4429,-1.01)
(17.8331,19.4429,-0.99)
(17.833,19.4429,0)
(17.833,19.4429,0.018)
(17.833,19.4429,0.05)
(17.833,19.4429,0.050001)
